;genero;climbers;genero;total
88;Blakea;39;Blepharodon;30
89;Blepharodon;26;Blumenbachia;10
90;Blumenbachia;3;Boerhavia;55
91;Boerhavia;1;Bomarea;124
92;Bomarea;82;Bonamia;69
93;Bonamia;18;Borismene;1
94;Borismene;1;Bougainvillea;16
95;Borreria;2;Bredemeyera;22
96;Borzicactus;2;Bronwenia;10
97;Bougainvillea;5;Brunfelsia;50
98;Bredemeyera;9;Buddleja;114
99;Bronwenia;8;Burmeistera;117
100;Brunfelsia;1;Byttneria;144
101;Buddleja;2;Calceolaria;275
102;Burmeistera;14;Calea;166
103;Byttneria;38;Callaeum;11
104;Caiophora;21;Callichlamys;1
105;Calceolaria;11;Calopogonium;9
106;Calea;7;Calycobolus;32
107;Callaeum;6;Calycophysum;4
108;Callichlamys;1;Calyptrion;5
109;Calopogonium;10;Calystegia;32
110;Calostigma;1;Campsis;3
111;Calycobolus;4;Camptosema;13
112;Calycophysum;3;Canavalia;80
113;Calyptrion;3;Capparis;175
114;Calystegia;3;Cardiospermum;9
115;Campsis;2;Carex;1
116;Camptosema;9;Carolus;6
117;Canavalia;40;Caryomene;5
118;Capanea;1;Casearia;217
119;Capparis;3;Casimirella;7
120;Cardiospermum;9;Cavendishia;114
121;Carolus;5;Cayaponia;81
122;Caryomene;5;Celastrus;48
123;Casearia;1;Celosia;89
124;Casimirella;2;Celtis;65
125;Cavendishia;12;Centropogon;214
126;Cayaponia;65;Centrosema;46
127;Celastrus;10;Ceratosanthes;9
128;Celosia;1;Ceratostema;37
129;Celtis;3;Cereus;52
130;Centropogon;22;Cestrum;215
131;Centrosema;38;Chaetocalyx;15
132;Ceratosanthes;5;Chamaecrista;356
133;Ceratostema;1;Chamaedorea;110
134;Cereus;8;Chamissoa;2
135;Cestrum;3;Cheiloclinium;11
136;Chaetocalyx;14;Chiococca;29
137;Chalema;1;Chomelia;79
138;Chamaecrista;2;Chondrodendron;3
139;Chamaedorea;1;Chorisepalum;5
140;Chamissoa;2;Christianella;5
141;Cheiloclinium;15;Chromolaena;177
142;Chiococca;4;Chrysothemis;10
143;Chomelia;3;Chusquea;177
144;Chondrodendron;3;Cissampelos;24
145;Chorisepalum;1;Cissus;299
146;Christianella;5;Citharexylum;106
147;Chromolaena;5;Citrullus;6
148;Chrysothemis;2;Cleistocactus;23
149;Chusquea;38;Clematicissus;6
150;Cionosicys;4;Clematis;381
151;Cissampelos;12;Cleobulia;3
152;Cissus;85;Cleome;166
153;Citharexylum;1;Clerodendrum;321
154;Citrullus;2;Clibadium;40
155;Cleistocactus;8;Clidemia;179
156;Clematicissus;1;Clitoria;71
157;Clematis;21;Clusia;308
158;Cleobulia;3;Clusiella;8
159;Cleome;1;Cnestidium;3
160;Clerodendrum;2;Cobaea;18
161;Clibadium;2;Coccinia;36
162;Clidemia;12;Coccoloba;188
163;Clitoria;26;Cocculus;14
164;Clusia;11;Codonanthe;10
165;Clusiella;3;Codonanthopsis;15
166;Cnestidium;2;Colanthelia;7
167;Cobaea;18;Colignonia;6
168;Coccinia;1;Cologania;12
169;Coccoloba;11;Columnea;216
170;Cocculus;2;Combretum;293
171;Cochliasanthus;1;Commelina;206
172;Codonanthe;2;Condylidium;2
173;Codonanthopsis;3;Condylocarpon;7
174;Colanthelia;2;Condylopodium;5
175;Colignonia;6;Condylostylis;5
176;Cologania;2;Congea;12
177;Columnea;39;Conium;2
178;Combretum;31;Connarus;103
179;Commelina;1;Convolvulus;218
180;Condylidium;1;Coreopsis;91
181;Condylocarpon;7;Coriaria;19
182;Condylopodium;4;Corryocactus;14
183;Condylostylis;2;Cottsia;4
184;Congea;2;Cotula;5
185;Connarus;35;Coussapoa;50
186;Convolvulus;9;Cratylia;7
187;Coreopsis;1;Cressa;3
188;Coriaria;1;Critonia;42
189;Corryocactus;13;Critoniopsis;71
190;Cottsia;1;Croton;1243
191;Coussapoa;4;Cryptocarpus;1
192;Cratylia;5;Cryptostegia;2
193;Cressa;1;Cuatrecasanthus;6
194;Critonia;6;Cucumis;63
195;Critoniopsis;1;Cucurbita;17
196;Croton;5;Cucurbitella;1
197;Cryptocarpus;1;Cuervea;7
198;Cryptostegia;2;Cuphea;261
199;Cuatrecasanthus;1;Curarea;5
200;Cucumeropsis;1;Cuspidaria;19
201;Cucumis;5;Cyathomone;1
202;Cucurbita;13;Cyclanthera;48
203;Cucurbitella;2;Cymbosema;1
204;Cuervea;5;Cynanchum;274
205;Cuphea;1;Cynophalla;17
206;Curarea;5;Cyrtocymura;6
207;Cuspidaria;20;Dalbergia;315
208;Cyathomone;1;Dalechampia;122
209;Cyclanthera;29;Dasyphyllum;42
210;Cydista;1;Dasytropis;1
211;Cymbosema;1;Davilla;33
212;Cynanchum;83;Deguelia;25
213;Cynophalla;4;Demosthenesia;12
214;Cyrtocymura;1;Dendrophorbium;60
215;Dalbergia;21;Denscantia;5
216;Dalechampia;87;Desmanthodium;8
217;Dasyphyllum;6;Desmodium;343
218;Dasytropis;1;Desmoncus;25
219;Davilla;25;Dicella;7
220;Deguelia;8;Dichapetalum;158
221;Demosthenesia;2;Dichorisandra;55
222;Dendrophorbium;2;Diclidanthera;5
223;Denscantia;4;Dicliptera;229
224;Desmanthodium;1;Diclis;1
225;Desmodium;16;Dicranopygium;54
226;Desmoncus;23;Dicranostyles;15
227;Dicella;7;Dictyanthus;14
228;Dichapetalum;7;Digomphia;3
229;Dichorisandra;5;Dilkea;13
230;Diclidanthera;1;Dioclea;64
231;Dicliptera;1;Diogenesia;14
232;Dicranopygium;1;Dioscorea;634
233;Dicranostyles;15;Diplopterys;31
234;Dictyanthus;17;Dipogon;1
235;Digomphia;1;Disciphania;27
236;Dilkea;3;Disocactus;23
237;Dioclea;54;Disterigma;41
238;Diodella;1;Ditassa;107
239;Diogenesia;1;Dolichandra;9
240;Dioscorea;282;Dolichopsis;3
241;Diplopterys;26;Doliocarpus;59
242;Dipogon;1;Doyerea;1
243;Disciphania;28;Dresslerothamnus;4
244;Disocactus;1;Drimia;1
245;Disterigma;16;Drymonia;82
246;Ditassa;107;Dulacia;13
247;Dolichandra;8;Eccremocarpus;4
248;Dolichopsis;2;Echinopepon;17
249;Dolichoura;1;Echinopsis;115
250;Doliocarpus;50;Echinopterys;2
251;Doyerea;1;Echites;16
252;Dresslerothamnus;2;Ectopopterys;1
253;Drymonia;31;Eirmocephala;3
254;Dulacia;1;Ekmaniopappus;1
255;Eccremocarpus;3;Elachyptera;8
256;Echinopepon;6;Elaphandra;15
257;Echinopsis;1;Elephantomene;1
258;Echinopterys;1;Elytrostachys;2
259;Echites;11;Emmeorhiza;1
260;Ectopopterys;1;Entada;38
261;Eirmocephala;1;Epiphyllum;13
262;Ekmaniopappus;1;Epipremnum;15
263;Elachyptera;4;Ericentrodea;6
264;Elaphandra;2;Euphorbia;2059
265;Elateriopsis;7;Evodianthus;1
266;Elaterium;1;Exarata;1
267;Electranthera;1;Excentradenia;4
268;Elephantomene;1;Fallopia;15
269;Elytrostachys;2;Fernaldia;1
270;Emmeorhiza;1;Fevillea;8
271;Entada;2;Fischeria;8
272;Epiphyllum;3;Fleischmannia;109
273;Epipremnum;2;Floscopa;21
274;Ericentrodea;3;Forsteronia;45
275;Euphorbia;4;Fridericia;71
276;Evodianthus;1;Fuchsia;113
277;Exarata;1;Fuertesia;1
278;Excentradenia;4;Funastrum;25
279;Fallopia;1;Galactia;134
280;Fernaldia;3;Galactophora;7
281;Fevillea;8;Galianthe;52
282;Fischeria;8;Galium;659
283;Fleischmannia;1;Gambelia;4
284;Floscopa;1;Gaudichaudia;17
285;Forsteronia;41;Gaultheria;151
286;Fridericia;61;Glekia;1
287;Fuchsia;6;Glossoloma;28
288;Fuertesia;1;Gnidia;3
289;Funastrum;8;Gomphocarpus;18
290;Galactia;69;Gomphrena;144
291;Galactophora;2;Gongrostylus;2
292;Galianthe;1;Gonocalyx;11
293;Galium;10;Gonolobus;123
294;Gambelia;1;Gouania;72
295;Gaudichaudia;3;Graffenrieda;66
296;Gaultheria;1;Griselinia;7
297;Glossoloma;3;Gronovia;2
298;Gomphocarpus;2;Guadua;31
299;Gomphrena;2;Guatteria;283
300;Gongrostylus;1;Guilandina;15
301;Gonocalyx;4;Gurania;46
302;Gonolobus;76;Haageocereus;11
303;Gouania;34;Hanburia;7
304;Graciemoriana;1;Haplophyton;2
305;Graffenrieda;3;Harnackia;1
306;Grazielanthus;1;Harrisia;24
307;Griselinia;1;Havardia;6
308;Gronovia;1;Hawkesiophyton;1
309;Guadua;2;Hebanthe;8
310;Guatteria;3;Hebeclinium;29
311;Guilandina;9;Heisteria;36
312;Gurania;48;Heladena;1
313;Haageocereus;8;Helicotropis;4
314;Hanburia;1;Helicteres;70
315;Haplophyton;1;Helmontia;4
316;Harnackia;1;Hemipogon;7
317;Harrisia;1;Henleophytum;1
318;Havardia;1;Heppiella;5
319;Hawkesiophyton;2;Herissantia;6
320;Hebanthe;7;Herodotia;1
321;Hebeclinium;2;Herreria;8
322;Heisteria;5;Heterocentron;16
323;Heladena;1;Heterocondylus;15
324;Helicotropis;1;Heteropsis;19
325;Helicteres;1;Heteropterys;161
326;Helmontia;4;Hibiscus;454
327;Hemiangium;1;Hidalgoa;3
328;Hemipogon;5;Hillia;24
329;Henleophytum;1;Hippocratea;4
330;Heppiella;2;Hiraea;80
331;Herissantia;1;Holmskioldia;1
332;Herodotia;1;Homalomena;146
333;Herreria;8;Houssayanthus;2
334;Heterocentron;4;Hybanthopsis;1
335;Heterocondylus;1;Hydrangea;74
336;Heteropsis;18;Hylaea;2
337;Heteropterys;128;Hylenaea;3
338;Hibiscus;2;Hylocereus;9
339;Hidalgoa;3;Hymenostephium;15
340;Hillia;4;Hyperbaena;31
341;Hippocratea;2;Hypolobus;1
342;Hiraea;50;Hyptis;178
343;Holmskioldia;1;Ibervillea;10
344;Homalomena;1;Ichnanthus;27
345;Houssayanthus;3;Ichthyothere;28
346;Hybanthopsis;1;Ifloga;5
347;Hydrangea;4;Indigofera;760
348;Hylaea;1;Ipomoea;681
349;Hylenaea;1;Iresine;53
350;Hylocereus;8;Ischnosiphon;36
351;Hymenostephium;2;Itzaea;1
352;Hyperbaena;9;Jacquemontia;112
353;Hypolobus;1;Jaltomata;74
354;Hyptis;1;Janusia;16
355;Ibatia;6;Jasminum;201
356;Ibervillea;1;Jobinia;25
357;Ichnanthus;2;Juanulloa;8
358;Ichthyothere;1;Jubelina;6
359;Indigofera;1;Jungia;37
360;Ipomoea;260;Justicia;1114
361;Iresine;7;Koanophyllon;123
362;Ischnosiphon;8;Kohleria;32
363;Iseia;1;Lablab;2
364;Itzaea;1;Lagenaria;6
365;Jacquemontia;68;Lantana;134
366;Jaltomata;1;Lasiacis;15
367;Janusia;14;Lasianthaea;16
368;Jasminum;5;Lasiocephalus;11
369;Jobinia;10;Lathyrus;196
370;Juanulloa;7;Laubertia;4
371;Jubelina;6;Leandra;253
372;Jungia;10;Lehmanniella;4
373;Justicia;15;Leonis;1
374;Keraunea;2;Lepidaploa;148
375;Kerbera;1;Lepismium;7
376;Koanophyllon;21;Leptospron;2
377;Kohleria;2;Leretia;1
378;Lablab;1;Lescaillea;1
379;Lachnostoma;5;Lesia;2
380;Lagenanthus;1;Leucaster;1
381;Lagenaria;2;Liabum;39
382;Lantana;2;Linnaeosicyos;1
383;Lasiacis;4;Lippia;177
384;Lasianthaea;1;Llerasia;15
385;Lasiocephalus;1;Lobelia;442
386;Lathyrus;8;Lonchocarpus;188
387;Laubertia;5;Lonicera;209
388;Leandra;4;Lophopterys;7
389;Lehmanniella;1;Lophospermum;9
390;Leonis;1;Lophostigma;2
391;Lepidaploa;11;Lophostoma;5
392;Lepismium;1;Ludovia;3
393;Leptospron;1;Luffa;8
394;Leretia;1;Lundia;15
395;Lescaillea;1;Lycianthes;161
396;Lesia;1;Lycoseris;12
397;Leucaster;1;Lysiostyles;1
398;Lhotzkyella;1;Mabea;39
399;Liabum;2;Machaerium;170
400;Liedea;1;Machaonia;31
401;Linnaeosicyos;1;Macleania;37
402;Lippia;1;Macroditassa;10
403;Llerasia;2;Macropharynx;16
404;Lobelia;1;Macroptilium;21
405;Lonchocarpus;5;Macrosamanea;11
406;Lonicera;5;Macroscepis;16
407;Lophopterys;4;Malanea;40
408;Lophospermum;2;Malpighiodes;4
409;Lophostigma;2;Malvaviscus;12
410;Lophostoma;2;Manaosella;1
411;Loxanthocereus;3;Mandevilla;180
412;Ludovia;3;Manekia;5
413;Luffa;7;Manettia;126
414;Lundia;14;Manihot;138
415;Lycianthes;42;Mansoa;17
416;Lycoseris;6;Marcgravia;69
417;Lysiostyles;1;Marcgraviastrum;15
418;Mabea;2;Margaritaria;13
419;Machaerium;82;Maripa;23
420;Machaonia;1;Markea;22
421;Macleania;2;Marsdenia;347
422;Macroditassa;6;Martinella;3
423;Macropharynx;3;Mascagnia;45
424;Macroptilium;14;Matelea;322
425;Macrosamanea;3;Mattfeldia;1
426;Macroscepis;11;Matucana;20
427;Malanea;20;Maurandya;2
428;Malinvaudia;1;Melochia;70
429;Malpighiodes;4;Melothria;19
430;Malvaviscus;1;Melothrianthus;1
431;Manaosella;1;Mendoncia;85
432;Mandevilla;118;Meriania;123
433;Manekia;4;Merinthopodium;3
434;Manettia;93;Merostachys;52
435;Manihot;13;Merremia;55
436;Mansoa;11;Mesechites;9
437;Marcgravia;59;Metastelma;110
438;Marcgraviastrum;5;Mezia;10
439;Margaritaria;1;Miconia;1214
440;Margaritopsis;1;Microsechium;2
441;Maripa;20;Mikania;450
442;Markea;16;Mimosa;768
443;Marsdenia;93;Minaria;22
444;Martinella;3;Mitostemma;4
445;Mascagnia;53;Molongum;3
446;Matelea;209;Momordica;54
447;Mattfeldia;1;Monsanima;2
448;Matucana;1;Monstera;62
449;Maurandya;2;Montanoa;41
450;Melinia;1;Monticalia;76
451;Melochia;1;Morinda;44
452;Melothria;13;Moutabea;9
453;Melothrianthus;1;Mucuna;125
454;Mendoncia;65;Muehlenbeckia;27
455;Meriania;2;Munnozia;47
456;Merinthopodium;3;Mutisia;69
457;Merostachys;12;Myriopus;13
458;Merremia;22;Mysanthus;1
459;Mesechites;11;Nautilocalyx;42
460;Metalepis;6;Neea;84
461;Metastelma;82;Neodillenia;3
462;Mezia;7;Neojobertia;3
463;Miconia;26;Neomortonia;1
464;Microsechium;2;Neonotonia;2
465;Mikania;329;Neorudolphia;1
466;Mimosa;28;Nephradenia;4
467;Minaria;1;Neriacanthus;5
468;Mitostemma;1;Nertera;12
469;Molongum;1;Nesampelos;3
470;Momordica;2;Nicotiana;82
471;Monsanima;2;Niedenzuella;16
472;Monstera;33;Nissolia;18
473;Montanoa;3;Norantea;2
474;Monticalia;1;Notopleura;100
475;Monvillea;1;Oblivia;3
476;Morinda;2;Odonellia;3
477;Morrenia;2;Odontadenia;20
478;Moutabea;8;Odontocarya;40
479;Mucuna;19;Odontocline;6
480;Muehlenbeckia;3;Odontonema;28
481;Munnozia;11;Oldfeltia;1
482;Mutisia;31;Oleandra;24
483;Myriopus;10;Oligactis;9
484;Mysanthus;1;Olyra;15
485;Nautilocalyx;2;Omphalea;21
486;Neea;1;Operculina;16
487;Neodillenia;3;Ophryosporus;40
488;Neojobertia;2;Oplonia;20
489;Neomortonia;1;Opuntia;221
490;Neonotonia;1;Oreanthes;7
491;Neorudolphia;1;Oreocereus;3
492;Nephradenia;3;Orthaea;38
493;Neriacanthus;1;Orthomene;4
494;Nertera;1;Orthosia;38
495;Nesampelos;2;Ossaea;53
496;Nicotiana;1;Oteiza;4
497;Niedenzuella;17;Otopappus;18
498;Nissolia;2;Oxalis;1
499;Norantea;3;Oxypetalum;139
500;Notopleura;4;Oxyrhynchus;4
501;Notoptera;2;Pachyloma;4
502;Oblivia;2;Pachyptera;6
503;Odonellia;2;Pachyrhizus;6
504;Odontadenia;26;Pachystachys;18
505;Odontocarya;38;Pacouria;3
506;Odontocline;1;Paederia;34
507;Odontonema;1;Pandorea;9
508;Oldfeltia;1;Paracalia;3
509;Oleandra;1;Paradrymonia;15
510;Oligactis;3;Parasicyos;2
511;Olyra;2;Parthenocissus;18
512;Omphalea;2;Passiflora;597
513;Operculina;11;Paullinia;200
514;Ophryosporus;2;Pedersenia;8
515;Oplonia;4;Peixotoa;29
516;Opuntia;1;Penelopeia;2
517;Oreanthes;1;Pentacalia;173
518;Oreocereus;4;Pentacyphus;3
519;Orinoquia;1;Pentalinon;2
520;Orthaea;11;Peperomia;1535
521;Orthomene;4;Peplonia;8
522;Orthosia;22;Pereskia;19
523;Oryxis;1;Periandra;7
524;Ossaea;2;Perianthomega;1
525;Oteiza;1;Peritassa;21
526;Otopappus;6;Perymeniopsis;1
527;Oxypetalum;69;Perymenium;66
528;Oxyrhynchus;2;Petalostelma;7
529;Pachyloma;1;Petrea;12
530;Pachyptera;3;Petunia;22
531;Pachyrhizus;7;Phainantha;5
532;Pachystachys;1;Phaseolus;103
533;Pacouria;3;Philibertia;42
534;Paederia;1;Philodendron;564
535;Pandorea;1;Phyla;8
536;Paracalia;1;Phyllanthus;1032
537;Paradrymonia;13;Pilea;608
538;Parasicyos;1;Pilosocereus;60
539;Parodiolyra;2;Pinochia;4
540;Parthenocissus;1;Pinzona;1
541;Passiflora;440;Piper;2171
542;Paullinia;211;Piptadenia;36
543;Pedersenia;6;Piptocarpha;53
544;Peixotoa;13;Piptocoma;18
545;Peltastes;10;Pisonia;54
546;Penelopeia;2;Pithecellobium;62
547;Pentacalia;99;Platygyna;7
548;Pentacyphus;1;Pleiochiton;12
549;Pentalinon;2;Pleonotoma;17
550;Peperomia;38;Pleurisanthes;7
551;Peplonia;7;Pleuropetalum;6
552;Pereskia;1;Plukenetia;21
553;Periandra;4;Plumbago;19
554;Perianthomega;1;Podranea;2
555;Peritassa;18;Poiretia;10
556;Perymeniopsis;1;Polyclathra;1
557;Perymenium;2;Polygala;724
558;Petalostelma;6;Porana;2
559;Petrea;12;Poranopsis;3
560;Petunia;1;Pouzolzia;62
561;Phainantha;3;Praecereus;2
562;Phaseolus;28;Prestonia;68
563;Philibertia;28;Prionostemma;1
564;Philodendron;205;Pristimera;39
565;Phyla;1;Psammisia;66
566;Phyllanthus;1;Pseudoacanthocereus;2
567;Pilea;1;Pseudoconnarus;5
568;Pilosocereus;2;Pseudogynoxys;15
569;Pinochia;2;Pseudorhipsalis;6
570;Pinzona;1;Psiguria;10
571;Piper;34;Psychopterys;8
572;Piptadenia;19;Pteropepon;6
573;Piptocarpha;40;Pueraria;20
574;Piptocoma;3;Pyrostegia;2
575;Pisonia;2;Quechualia;4
576;Pithecellobium;1;Ramirezella;10
577;Platygyna;7;Randia;117
578;Platyopuntia;1;Reissekia;1
579;Pleiochiton;2;Retiniphyllum;21
580;Pleonotoma;15;Rhabdadenia;3
581;Pleurisanthes;7;Rhipidocladum;19
582;Pleuropetalum;1;Rhodochiton;3
583;Plukenetia;11;Rhodopis;2
584;Plumbago;1;Rhodospatha;33
585;Podranea;1;Rhus;69
586;Poiretia;1;Rhynchosia;277
587;Polyclathra;2;Rhynchosida;2
588;Polygala;3;Rhynchospora;360
589;Polystemma;2;Rochefortia;13
590;Porana;1;Romanoa;1
591;Poranopsis;1;Rosa;463
592;Pouzolzia;1;Rosenbergiodendron;4
593;Praecereus;1;Rourea;85
594;Prestonia;64;Rubus;2071
595;Prionostemma;1;Ruellia;399
596;Pristimera;10;Ruprechtia;36
597;Prosthecidiscus;1;Ruyschia;9
598;Pruskortizia;2;Sabicea;161
599;Psammisia;28;Sageretia;38
600;Pseudoacanthocereus;1;Salacia;215
601;Pseudoconnarus;5;Salmea;10
602;Pseudocyclanthera;1;Salpichroa;16
603;Pseudogynoxys;13;Salpinga;11
604;Pseudorhipsalis;2;Salvia;1050
605;Pseudosicydium;1;Santosia;1
606;Psiguria;10;Sapphoa;2
607;Psychopterys;8;Sarcopera;8
608;Pteropepon;3;Sarcostemma;5
609;Pueraria;2;Satyria;25
610;Pyrostegia;1;Schistonema;1
611;Quapoya;1;Schizocarpum;9
612;Quechualia;1;Schlegelia;23
613;Rajania;16;Schnella;49
614;Ramirezella;1;Schradera;55
615;Randia;5;Schubertia;6
616;Reissekia;1;Schultesianthus;8
617;Retiniphyllum;1;Schwartzia;21
618;Rhabdadenia;3;Schwenckia;21
619;Rhipidocladum;5;Sciadotenia;19
620;Rhodochiton;3;Scleria;260
621;Rhodopis;1;Scutellaria;481
622;Rhodospatha;12;Scyphostelma;28
623;Rhus;1;Sebaea;3
624;Rhynchosia;27;Sechiopsis;5
625;Rhynchosida;1;Sechium;11
626;Rhynchospora;1;Secondatia;6
627;Rhytidostemma;2;Securidaca;65
628;Rochefortia;2;Seguieria;7
629;Rojasia;1;Selago;91
630;Romanoa;1;Selenicereus;23
631;Rosa;1;Semialarium;1
632;Rosenbergiodendron;2;Semiramisia;4
633;Rourea;36;Senecio;1686
634;Rubus;54;Senegalia;233
635;Ruellia;5;Senna;296
636;Ruprechtia;1;Serjania;259
637;Ruyschia;6;Sesuvium;14
638;Rytidostylis;5;Shuteria;5
639;Sabicea;41;Sicana;4
640;Sageretia;1;Sicydium;9
641;Salacia;32;Sicyos;68
642;Salmea;10;Sigmoidotropis;10
643;Salpichroa;3;Sinclairia;28
644;Salpinga;1;Siolmatra;2
645;Salvia;1;Siparuna;58
646;Santosia;1;Siphocampylus;238
647;Sapphoa;2;Skytanthus;3
648;Sarcopera;8;Smilax;270
649;Sarcostemma;7;Solanum;1646
650;Satyria;11;Souroubea;19
651;Schistonema;1;Sparattanthelium;15
652;Schizocarpum;3;Sphagneticola;5
653;Schlegelia;22;Sphinga;3
654;Schnella;49;Sphyrospermum;30
655;Schradera;22;Stegnosperma;4
656;Schubertia;5;Stellaria;184
657;Schultesianthus;5;Stenospermation;54
658;Schwartzia;8;Steriphoma;7
659;Schwenckia;3;Steyermarkina;4
660;Sciadotenia;21;Stictocardia;13
661;Scleria;9;Stifftia;6
662;Scutellaria;2;Stigmaphyllon;121
663;Scyphostelma;9;Stipa;1
664;Sechiopsis;2;Stipecoma;1
665;Sechium;7;Stizophyllum;3
666;Secondatia;5;Strophanthus;39
667;Securidaca;47;Strychnos;206
668;Seguieria;6;Symplocos;399
669;Selenicereus;5;Syngonium;34
670;Selysia;3;Tacinga;10
671;Semialarium;1;Tanaecium;18
672;Semiramisia;1;Tassadia;32
673;Senecio;1;Tecoma;12
674;Senegalia;29;Tecunumania;1
675;Senna;27;Telitoxicum;8
676;Serjania;244;Temnadenia;4
677;Sesuvium;1;Teramnus;11
678;Seutera;1;Tetracera;53
679;Shuteria;1;Tetralocularia;1
680;Sicana;3;Tetrapterys;75
681;Sicydium;8;Themistoclesia;35
682;Sicyocaulis;1;Thenardia;3
683;Sicyos;34;Thibaudia;73
684;Sigmoidotropis;4;Thinouia;11
685;Sinclairia;3;Thoracocarpus;1
686;Siolmatra;2;Thryallis;5
687;Siparuna;7;Thunbergia;165
688;Siphocampylus;40;Thyrsacanthus;7
689;Skytanthus;1;Tilesia;3
690;Smilax;111;Tinospora;39
691;Solanum;77;Tococa;52
692;Souroubea;16;Tontelea;25
693;Sparattanthelium;8;Tournefortia;118
694;Sphagneticola;1;Tournonia;1
695;Sphinga;1;Tourrettia;1
696;Sphyrospermum;6;Toxicodendron;32
697;Stegnosperma;2;Tragia;154
698;Stellaria;1;Trepadonia;2
699;Stenomeria;3;Trianaea;4
700;Stenospermation;8;Trichosanthes;126
701;Stephanotis;1;Trichostigma;3
702;Steriphoma;1;Trigonia;30
703;Steyermarkina;2;Triolena;25
704;Stictocardia;1;Triopterys;4
705;Stifftia;1;Tripogandra;22
706;Stigmaphyllon;97;Triumfetta;187
707;Stipecoma;1;Trixis;46
708;Stizophyllum;2;Tropaeolum;100
709;Strophanthus;1;Tuberostylis;2
710;Strychnos;71;Turbina;11
711;Symplocos;1;Tweedia;9
712;Syngonium;23;Tylophora;176
713;Tacinga;1;Tynanthus;17
714;Tanaecium;17;Uncaria;40
715;Tassadia;25;Ungulipetalum;1
716;Tecoma;1;Urera;47
717;Tecunumania;1;Urvillea;21
718;Telitoxicum;8;Vaccinium;534
719;Telminostelma;2;Valeriana;370
720;Temnadenia;4;Vanilla;123
721;Teramnus;3;Varronia;149
722;Tetracera;18;Vellosiella;3
723;Tetralocularia;1;Verbena;95
