Genus;Epithet;Author;Whole
Bomarea;albimontana;D.N.Sm. & Gereau      ;Bomarea albimontana D.N.Sm. & Gereau      
Bomarea;amazonica;Hofreiter & E.Rodr.      ;Bomarea amazonica Hofreiter & E.Rodr.      
Bomarea;amilcariana;Stergios & Dorr      ;Bomarea amilcariana Stergios & Dorr      
Bomarea;anceps;(Ruiz & Pav.) Herb.     ;Bomarea anceps (Ruiz & Pav.) Herb.     
Bomarea;andreana;Baker        ;Bomarea andreana Baker        
Bomarea;angulata;Benth.        ;Bomarea angulata Benth.        
Bomarea;angustissima;Killip        ;Bomarea angustissima Killip        
Bomarea;aurantiaca;Herb.        ;Bomarea aurantiaca Herb.        
Bomarea;bracteata;(Ruiz & Pav.) Herb.     ;Bomarea bracteata (Ruiz & Pav.) Herb.     
Bomarea;bracteolata;Gereau        ;Bomarea bracteolata Gereau        
Bomarea;multiflora;(L.f.) Mirb.       ;Bomarea multiflora (L.f.) Mirb.       
Bomarea;callejasiana;Alzate        ;Bomarea callejasiana Alzate        
Bomarea;campylophylla;Killip        ;Bomarea campylophylla Killip        
Bomarea;carderi;Mast.        ;Bomarea carderi Mast.        
Bomarea;caucana;Alzate        ;Bomarea caucana Alzate        
Bomarea;caudata;Killip        ;Bomarea caudata Killip        
Bomarea;caudatisepala;Gereau        ;Bomarea caudatisepala Gereau        
Bomarea;ceratophora;Neuendorf        ;Bomarea ceratophora Neuendorf        
Bomarea;chaparensis;Hofreiter        ;Bomarea chaparensis Hofreiter        
Bomarea;chiriquina;Killip        ;Bomarea chiriquina Killip        
Bomarea;colombiana;Alzate        ;Bomarea colombiana Alzate        
Bomarea;cornigera;Herb.        ;Bomarea cornigera Herb.        
Bomarea;cornuta;Herb.        ;Bomarea cornuta Herb.        
Bomarea;crinita;Herb.        ;Bomarea crinita Herb.        
Bomarea;dispar;Herb.        ;Bomarea dispar Herb.        
Bomarea;densiflora;Herb.        ;Bomarea densiflora Herb.        
Bomarea;denticulata;(Ruiz & Pav.) Herb.     ;Bomarea denticulata (Ruiz & Pav.) Herb.     
Bomarea;diffracta;Baker        ;Bomarea diffracta Baker        
Bomarea;dissitifolia;Baker        ;Bomarea dissitifolia Baker        
Bomarea;dolichocarpa;Killip        ;Bomarea dolichocarpa Killip        
