Order;Family;Nr;;x;;
Liliales;;;;Balanophoraceae ;;Santalales
Liliales;;;;Balsameaceae; Burseraceae ;Sapindales
Liliales;;;;Balsaminaceae ;;Ericales
Liliales;;;;Bambusaceae; Poaceae ;Poales
Liliales;;;;Barbaceniaceae; Velloziaceae ;Pandanales
Liliales;;;;Barbeuiaceae ;;Caryophyllales
Liliales;;;;Barbeyaceae ;;Rosales
Liliales;;;;Barclayaceae; Nymphaeaceae ;Nymphaeales
Liliales;;;;Barringtoniaceae; Lecythidaceae ;Ericales
Liliales;;;;Basellaceae ;;Caryophyllales
Liliales;;;;Bataceae ;;Brassicales
Liliales;;;;Baueraceae; Cunoniaceae ;Oxalidales
Liliales;;;;Bauhiniaceae; Fabaceae ;Fabales
Liliales;;;;Baxteriaceae; Dasypogonaceae ;Arecales
Liliales;;;;Begoniaceae ;;Cucurbitales
Liliales;;;;Behniaceae; Asparagaceae ;Asparagales
Liliales;;;;Belangeraceae; Cunoniaceae ;Oxalidales
Liliales;;;;Belloniaceae; Gesneriaceae ;Lamiales
Liliales;;;;Bembiciaceae; Salicaceae ;Malpighiales
Liliales;;;;Berberidaceae ;;Ranunculales
Liliales;;;;Berberidopsidaceae ;;Berberidopsidales
Liliales;;;;Berryaceae; Malvaceae ;Malvales
Liliales;;;;Bersamaceae; Francoaceae ;Geraniales
Liliales;;;;Bertyaceae; Euphorbiaceae ;Malpighiales
Liliales;;;;Berzeliaceae; Bruniaceae ;Bruniales
Liliales;;;;Besleriaceae; Gesneriaceae ;Lamiales
Liliales;;;;Betaceae; Amaranthaceae ;Caryophyllales
Liliales;;;;Betulaceae ;;Fagales
Liliales;;;;Biebersteiniaceae ;;Sapindales
Liliales;;;;Bifariaceae; Santalaceae ;Santalales
Liliales;;;;Bignoniaceae ;;Lamiales
Liliales;;;;Bischofiaceae; Phyllanthaceae ;Malpighiales
Liliales;;;;Bixaceae ;;Malvales
Liliales;;;;Blakeaceae; Melastomataceae ;Myrtales
Liliales;;;;Blandfordiaceae ;;Asparagales
Liliales;;;;Blattiaceae; Lythraceae ;Myrtales
Liliales;;;;Blechnaceae ;;eupolypod II
Liliales;;;;Blepharocaryaceae; Anacardiaceae ;Sapindales
Liliales;;;;Blitaceae; Amaranthaceae ;Caryophyllales
Liliales;;;;Blyxaceae; Hydrocharitaceae ;Alismatales
Liliales;;;;Boerlagellaceae; Sapotaceae ;Ericales
Liliales;;;;Bogutchanthaceae ;fossil;"??""Hamamelidales"""
Liliales;;;;Bolbitidaceae; Dryopteridaceae ;Polypodiales-eupolypod I
Liliales;;;;Bolivaraceae; Oleaceae ;Lamiales
Liliales;;;;Bombacaceae; Malvaceae ;Malvales
Liliales;;;;Bonnetiaceae ;;Malpighiales
Liliales;;;;Bontiaceae; Scrophulariaceae ;Lamiales
Liliales;;;;Boopidaceae; Calyceraceae ;Asterales
Liliales;;;;Boraginaceae ;;Boraginales
Liliales;;;;Borassaceae; Arecaceae ;Arecales
Liliales;;;;Boroniaceae; Rutaceae ;Sapindales
Liliales;;;;Borthwickiaceae; Resedaceae ;Brassicales
Liliales;;;;Boryaceae ;;Asparagales
Liliales;;;;Botrychiaceae; Ophioglossaceae ;Ophioglossales
Liliales;;;;Botryodendraceae; Araliaceae ;Apiales
Liliales;;;;Bougainvilleaceae; Nyctaginaceae ;Caryophyllales
Liliales;;;;Boweniaceae; Zamiaceae ;Cycadales
Liliales;;;;Brassicaceae ;;Brassicales
Liliales;;;;Brachycaulaceae; Saxifragaceae ;Saxifragales
Liliales;;;;Bracteocarpaceae; Podocarpaceae ;Cupressales
Liliales;;;;Bretschneideraceae; Akaniaceae ;Brassicales
Liliales;;;;Brexiaceae; Celastraceae ;Celastrales
Liliales;;;;Bromaceae; Poaceae ;Poales
Liliales;;;;Bromeliaceae ;;Poales
Liliales;;;;Browalliaceae; Solanaceae ;Solanales
Liliales;;;;Brownlowiaceae; Malvaceae ;Malvales
Liliales;;;;Brunelliaceae ;;Oxalidales
Liliales;;;;Bruniaceae ;;Bruniales
Liliales;;;;Brunoniaceae; Goodeniaceae ;Asterales
Liliales;;;;Brunsvigiaceae; Amaryllidaceae ;Asparagales
Liliales;;;;Bryoniaceae; Cucurbitaceae ;Cucurbitales
Liliales;;;;Buchneraceae; Orobanchaceae ;Lamiales
Liliales;;;;Bucidaceae; Combretaceae ;Myrtales
Liliales;;;;Buddlejaceae; Scrophulariaceae ;Lamiales
Liliales;;;;Buglossaceae; Boraginaceae ;Boraginales
Liliales;;;;Bulbocodiaceae; Colchicaceae ;Liliales
Liliales;;;;Bumeliaceae; Sapotaceae ;Ericales
Liliales;;;;Bupleuraceae; Apiaceae ;Apiales
Liliales;;;;Burchardiaceae; Colchicaceae ;Liliales
Liliales;;;;Burmanniaceae ;;Dioscoreales
Liliales;;;;Burseraceae ;;Sapindales
Liliales;;;;Butneriaceae; Calycanthaceae ;Laurales
Liliales;;;;Butomaceae ;;Alismatales
Liliales;;;;Buxaceae ;;Buxales
Liliales;;;;Byblidaceae ;;Lamiales
Liliales;;;;Byttneriaceae; Malvaceae ;Malvales
Liliales;;;;Cabombaceae ;;Nymphaeales
Liliales;;;;Cacaoaceae; Malvaceae ;Malvales
Liliales;;;;Cactaceae ;;Caryophyllales
Liliales;;;;Caesalpiniaceae; Fabaceae ;Fabales
Liliales;;;;Caladiaceae; Araceae ;Alismatales
Liliales;;;;Calamaceae; Arecaceae ;Arecales
Liliales;;;;Calceolariaceae ;;Lamiales
Liliales;;;;Calectasiaceae; Dasypogonaceae ;Arecales
Liliales;;;;Calendulaceae; Asteraceae ;Asterales
Liliales;;;;Callaceae; Araceae ;Alismatales
Liliales;;;;Callicomaceae; Cunoniaceae ;Oxalidales
Liliales;;;;Calligonaceae; Polygonaceae ;Caryophyllales
Liliales;;;;Callitridaceae; Cupressaceae ;Cupressales
Liliales;;;;Callitrichaceae; Plantaginaceae ;Lamiales
Liliales;;;;Calochortaceae; Liliaceae ;Liliales
Liliales;;;;Calophyllaceae ;;Malpighiales
Liliales;;;;Calthaceae; Ranunculaceae ;Ranunculales
Liliales;;;;Calycanthaceae ;;Laurales
Liliales;;;;Calyceraceae ;;Asterales
Liliales;;;;Cambogiaceae; Clusiaceae ;Malpighiales
Liliales;;;;Camelliaceae; Theaceae ;Ericales
Liliales;;;;Campanulaceae ;;Asterales
Liliales;;;;Camptothecaceae; Nyssaceae ;Cornales
Liliales;;;;Campynemataceae ;;Liliales
Liliales;;;;Canacomyricaceae; Myricaceae ;Fagales
Liliales;;;;Canellaceae ;;Canellales
Liliales;;;;Cannabaceae ;;Rosales
Liliales;;;;Cannaceae ;;Zingiberales
Liliales;;;;Canopodaceae; Santalaceae ;Santalales
Liliales;;;;Canotiaceae; Celastraceae ;Celastrales
Liliales;;;;Cansjeraceae; Opiliaceae ;Santalales
Liliales;;;;Capparaceae ;;Brassicales
Liliales;;;;Caprariaceae; Scrophulariaceae ;Lamiales
Liliales;;;;Caprifoliaceae ;;Dipsacales
Liliales;;;;Cardiopteridaceae ;;Cardiopteridales
Liliales;;;;Carduaceae; Asteraceae ;Asterales
Liliales;;;;Caricaceae ;;Brassicales
Liliales;;;;Carissaceae; Apocynaceae ;Gentianales
Liliales;;;;Carlemanniaceae ;;Lamiales
Liliales;;;;Carlinaceae; Asteraceae ;Asterales
Liliales;;;;Carpinaceae; Betulaceae ;Fagales
Liliales;;;;Carpodetaceae; Rousseaceae ;Asterales
Liliales;;;;Cartonemataceae; Commelinaceae ;Commelinales
Liliales;;;;Caryocaraceae ;;Malpighiales
Liliales;;;;Caryophyllaceae ;;Caryophyllales
Liliales;;;;Cassiaceae; Fabaceae ;Fabales
Liliales;;;;Cassipoureaceae; Rhizophoraceae ;Malpighiales
Liliales;;;;Cassythaceae; Lauraceae ;Laurales
Liliales;;;;Castaneaceae; Fagaceae ;Fagales
Liliales;;;;Castelaceae; Simaroubaceae ;Sapindales
Liliales;;;;Casuarinaceae ;;Fagales
Liliales;;;;Catesbaeaceae; Rubiaceae ;Gentianales
Liliales;;;;Cathedraceae; Aptandraceae ;Santalales
Liliales;;;;Caucaulidaceae; Apiaceae ;Apiales
Liliales;;;;Cecropiaceae; Urticaceae ;Rosales
Liliales;;;;Cedraceae; Pinaceae ;Pinales
Liliales;;;;Cedrelaceae; Meliaceae ;Sapindales
Liliales;;;;Celastraceae ;;Celastrales
Liliales;;;;Celosiaceae; Amaranthaceae ;Caryophyllales
Liliales;;;;Celtidaceae; Cannabaceae ;Rosales
Liliales;;;;Centaureaceae; Asteraceae ;Asterales
Liliales;;;;Centrolepidaceae; Restionaceae ;Poales
Liliales;;;;Centroplacaceae ;;Malpighiales
Liliales;;;;Cepaceae; Amaryllidaceae ;Asparagales
Liliales;;;;Cephalanthaceae; Rubiaceae ;Gentianales
Liliales;;;;Cephalotaceae ;;Oxalidales
Liliales;;;;Cephalotaxaceae; Taxaceae ;Cupressales
Liliales;;;;Cerastiaceae; Caryophyllaceae ;Caryophyllales
Liliales;;;;Ceratoniaceae; Fabaceae ;Fabales
Liliales;;;;Ceratophyllaceae ;;Ceratophyllales
Liliales;;;;Ceratopteridaceae; Pteridaceae ;Polypodiales
Liliales;;;;Cerberaceae; Apocynaceae ;Gentianales
Liliales;;;;Cercidiphyllaceae ;;Saxifragales
Liliales;;;;Cercocarpaceae; Rosaceae ;Rosales
Liliales;;;;Cercodiaceae; Haloragaceae ;Saxifragales
Liliales;;;;Cereaceae; Cactaceae ;Caryophyllales
Liliales;;;;Cerinthaceae; Boraginaceae ;Boraginales
Liliales;;;;Ceroxylaceae; Arecaceae ;Arecales
Liliales;;;;Cervantesiaceae; Santalaceae ;Santalales
Liliales;;;;Cestraceae; Solanaceae ;Solanales
Liliales;;;;Cevalliaceae; Loasaceae ;Cornales
Liliales;;;;Chaeturaceae; Poaceae ;Poales
Liliales;;;;Chailletiaceae; Dichapetalaceae ;Malpighiales
Liliales;;;;Chamaedoraceae; Arecaceae ;Arecales
Liliales;;;;Chamaemoraceae; Rosaceae ;Rosales
Liliales;;;;Chamelauciaceae; Myrtaceae ;Myrtales
Liliales;;;;Chaunochitonaceae; Aptandraceae ;Santalales
Liliales;;;;Cheilanthaceae; Pteridaceae ;Polypodiales
Liliales;;;;Cheilosaceae; Euphorbiaceae ;Malpighiales
Liliales;;;;Cheiropleuriaceae; Dipteridaceae ;Gleicheniales
Liliales;;;;Chelidoniaceae; Papaveraceae ;Ranunculales
Liliales;;;;Chelonaceae; Plantaginaceae ;Lamiales
Liliales;;;;Chenopodiaceae; Amaranthaceae ;Caryophyllales
Liliales;;;;Chimonanthaceae; Calycanthaceae ;Laurales
Liliales;;;;Chingithamnaceae; Celastraceae ;Celastrales
Liliales;;;;Chionographidaceae; Melanthiaceae ;Liliales
Liliales;;;;Chiranthodendraceae; Malvaceae ;Malvales
Liliales;;;;Chironiaceae; Gentianaceae ;Gentianales
Liliales;;;;Chlaenaceae; Sarcolaenaceae ;Malvales
Liliales;;;;Chloanthaceae; Lamiaceae ;Lamiales
Liliales;;;;Chloranthaceae ;;Chloranthales
Liliales;;;;Chloridaceae; Poaceae ;Poales
Liliales;;;;Chlorogalaceae; Asparagaceae ;Asparagales
Liliales;;;;Christenseniaceae; Marattiaceae ;Marattiales
Liliales;;;;Chrysobalanaceae ;;Malpighiales
Liliales;;;;Chrysospleniaceae; Saxifragaceae ;Saxifragales
Liliales;;;;Cibotiaceae ;;Cyatheales
Liliales;;;;Ciceraceae; Fabaceae ;Fabales
Liliales;;;;Cichoriaceae; Asteraceae ;Asterales
Liliales;;;;Cimicifugaceae; Ranunculaceae ;Ranunculales
Liliales;;;;Cinchoniaceae; Rubiaceae ;Gentianales
Liliales;;;;Circaeaceae; Onagraceae ;Myrtales
Liliales;;;;Circaeasteraceae ;;Ranunculales
Liliales;;;;Cissaceae; Vitaceae ;Vitales
Liliales;;;;Cistaceae ;;Malvales
Liliales;;;;Citraceae; Rutaceae ;Sapindales
Liliales;;;;Clematidaceae; Ranunculaceae ;Ranunculales
Liliales;;;;Cleomaceae ;;Brassicales
Liliales;;;;Clethraceae ;;Ericales
Liliales;;;;Clusiaceae ;;Malpighiales
Liliales;;;;Cneoraceae; Rutaceae ;Sapindales
Liliales;;;;Cnestidaceae; Connaraceae ;Oxalidales
Liliales;;;;Cnicaceae; Asteraceae ;Asterales
Liliales;;;;Cobaeaceae; Polemoniaceae ;Ericales
Liliales;;;;Cochlospermaceae; Bixaceae ;Malvales
Liliales;;;;Codonaceae ;;Boraginales
Liliales;;;;Cocosaceae; Arecaceae ;Arecales
Liliales;;;;Coeleanthaceae; Poaceae ;Poales
Liliales;;;;Coffeaceae; Rubiaceae ;Gentianales
Liliales;;;;Colchicaceae ;;Liliales
Liliales;;;;Coldeniaceae; Cordiaceae ;Boraginales
Liliales;;;;Coleogynaceae; Rosaceae ;Rosales
Liliales;;;;Colocasiaceae; Araceae ;Alismatales
Liliales;;;;Columelliaceae ;;Desfontainiales
Liliales;;;;Comandraceae; Santalaceae ;Santalales
Liliales;;;;Combretaceae ;;Myrtales
Liliales;;;;Commelinaceae ;;Commelinales
Liliales;;;;Comocladiaceae; Anacardiaceae ;Sapindales
Liliales;;;;Compositae ;;Asterales
Liliales;;;;Compsoaceae; Calochortoideae ;Liliales
Liliales;;;;Conantheraceae; Tecophilaeaceae ;Asparagales
Liliales;;;;Connaraceae ;;Oxalidales
Liliales;;;;Conostylidaceae; Haemodoraceae ;Commelinales
Liliales;;;;Convallariaceae; Asparagaceae ;Asparagales
Liliales;;;;Convolvulaceae ;;Solanales
Liliales;;;;Corbichoniaceae; Lophiocarpaceae ;Caryophyllales
Liliales;;;;Cordiaceae ;;Boraginales
Liliales;;;;Coreopsidaceae; Asteraceae ;Asterales
Liliales;;;;Coriandraceae; Apiaceae ;Apiales
Liliales;;;;Coriariaceae ;;Cucurbitales
Liliales;;;;Coridaceae; Primulaceae ;Ericales
Liliales;;;;Corispermaceae; Amaranthaceae ;Caryophyllales
Liliales;;;;Cornaceae ;;Cornales
Liliales;;;;Corokiaceae; Argophyllaceae ;Asterales
Liliales;;;;Coronillaceae; Fabaceae ;Fabales
Liliales;;;;Correaceae; Rutaceae ;Sapindales
Liliales;;;;Corrigiolaceae; Caryophyllaceae ;Caryophyllales
Liliales;;;;Corsiaceae ;;Liliales
Liliales;;;;Corydalaceae; Papaveraceae ;Ranunculales
Liliales;;;;Corylaceae; Betulaceae ;Fagales
Liliales;;;;Corynocarpaceae ;;Cucurbitales
Liliales;;;;Coryphaceae; Arecaceae ;Arecales
Liliales;;;;Costaceae ;;Zingiberales
Liliales;;;;Cotyledonaceae; Crassulaceae ;Saxifragales
Liliales;;;;Coulaceae ;;Santalales
Liliales;;;;Coutariaceae; Rubiaceae ;Gentianales
Liliales;;;;Coutoubeaceae; Gentianaceae ;Gentianales
Liliales;;;;Crassulaceae ;;Saxifragales
Liliales;;;;Crescentiaceae; Bignoniaceae ;Lamiales
Liliales;;;;Cressaceae; Convolvulaceae ;Solanales
Liliales;;;;Crinaceae; Amaryllidaceae ;Asparagales
Liliales;;;;Crocaceae; Iridaceae ;Asparagales
Liliales;;;;Croomiaceae; Stemonaceae ;Pandanales
Liliales;;;;Crossosomataceae ;;Crossosomatales
Liliales;;;;Crotonaceae; Euphorbiaceae ;Malpighiales
Liliales;;;;Cruciferae ;;Brassicales
Liliales;;;;Cryptaceae; Elatinaceae ;Malpighiales
Liliales;;;;Crypteroniaceae ;;Myrtales
