"","species","n_temp","mean_temp","sd_temp","se_temp","within_sp_var_temp","species.1","n_prec","mean_prec","sd_prec","se_prec","within_sp_var_prec","species.2","n_pet","mean_pet","sd_pet","se_pet","within_sp_var_pet","species.3","n_aridity","mean_aridity","sd_aridity","se_aridity","within_sp_var_aridity"
"30","Salacia ulei Loes.","12","5.698155","0.001495","0.000432","3e-06","Salacia ulei Loes.","12","7.927487","0.233492","0.067403","0.009728","Salacia ulei Loes.","12","7.103542","0.034059","0.009832","0.000903","Salacia ulei Loes.","12","10.001769","0.19935","0.057547","0.01014"
"31","Salacia wrightii Urb.","1","5.699607",NA,NA,"3.6e-05","Salacia wrightii Urb.","1","7.307873",NA,NA,"0.116739","Salacia wrightii Urb.","1","7.556951",NA,NA,"0.010833","Salacia wrightii Urb.","1","8.756368",NA,NA,"0.121683"
"32","Tontelea attenuata Miers","60","5.69579","0.005735","0.00074","1e-06","Tontelea attenuata Miers","60","7.830937","0.342767","0.044251","0.001946","Tontelea attenuata Miers","60","7.2067","0.107804","0.013917","0.000181","Tontelea attenuata Miers","60","9.841012","0.316654","0.04088","0.002028"
"33","Tontelea emarginata A.C.Sm.","22","5.694468","0.005393","0.00115","2e-06","Tontelea emarginata A.C.Sm.","22","7.77965","0.448426","0.095605","0.005306","Tontelea emarginata A.C.Sm.","22","7.244716","0.132977","0.028351","0.000492","Tontelea emarginata A.C.Sm.","22","9.750792","0.498222","0.106221","0.005531"
"34","Tontelea fuliginea Lombardi","1","5.695246",NA,NA,"3.6e-05","Tontelea fuliginea Lombardi","1","8.240121",NA,NA,"0.116739","Tontelea fuliginea Lombardi","1","7.068172",NA,NA,"0.010833","Tontelea fuliginea Lombardi","1","10.259412",NA,NA,"0.121683"
"35","Tontelea hondurensis A.C.Sm.","9","5.693652","0.007284","0.002428","4e-06","Tontelea hondurensis A.C.Sm.","9","8.001854","0.27715","0.092383","0.012971","Tontelea hondurensis A.C.Sm.","9","7.386048","0.051931","0.01731","0.001204","Tontelea hondurensis A.C.Sm.","9","9.756241","0.093128","0.031043","0.01352"
"36","Dalbergia gracilis Benth.","23","5.697917","0.001272","0.000265","2e-06","Dalbergia gracilis Benth.","23","7.443142","0.157811","0.032906","0.005076","Dalbergia gracilis Benth.","23","7.245797","0.097349","0.020299","0.000471","Dalbergia gracilis Benth.","23","9.414842","0.227394","0.047415","0.005291"
"37","Dalbergia grandistipula A.M.Carvalho","1","5.699272",NA,NA,"3.6e-05","Dalbergia grandistipula A.M.Carvalho","1","7.446585",NA,NA,"0.116739","Dalbergia grandistipula A.M.Carvalho","1","7.170888",NA,NA,"0.010833","Dalbergia grandistipula A.M.Carvalho","1","9.51569",NA,NA,"0.121683"
"38","Dalbergia guttembergii A.M.Carvalho","2","5.702447","0.002596","0.001836","1.8e-05","Dalbergia guttembergii A.M.Carvalho","2","7.451196","0.084543","0.059781","0.05837","Dalbergia guttembergii A.M.Carvalho","2","7.350098","0.040885","0.02891","0.005416","Dalbergia guttembergii A.M.Carvalho","2","9.340826","0.12798","0.090496","0.060842"
"39","Dalbergia sampaioana Kuhlm. & Hoehne","1","5.695246",NA,NA,"3.6e-05","Dalbergia sampaioana Kuhlm. & Hoehne","1","7.081709",NA,NA,"0.116739","Dalbergia sampaioana Kuhlm. & Hoehne","1","7.26403",NA,NA,"0.010833","Dalbergia sampaioana Kuhlm. & Hoehne","1","9.034319",NA,NA,"0.121683"
"40","Lonchocarpus martynii A.C.Sm.","2","5.701275","0.004253","0.003007","1.8e-05","Lonchocarpus martynii A.C.Sm.","2","7.633955","0.174689","0.123524","0.05837","Lonchocarpus martynii A.C.Sm.","2","7.393803","0.017396","0.012301","0.005416","Lonchocarpus martynii A.C.Sm.","2","9.414953","0.000403","0.000285","0.060842"
"41","Machaerium amazonense Hoehne","7","5.697685","0.004313","0.00163","5e-06","Machaerium amazonense Hoehne","7","7.839409","0.192314","0.072688","0.016677","Machaerium amazonense Hoehne","7","7.261515","0.121559","0.045945","0.001548","Machaerium amazonense Hoehne","7","9.729457","0.217238","0.082108","0.017383"
"42","Machaerium amplum Benth.","56","5.696097","0.005109","0.000683","1e-06","Machaerium amplum Benth.","56","7.249679","0.232013","0.031004","0.002085","Machaerium amplum Benth.","56","7.352676","0.079877","0.010674","0.000193","Machaerium amplum Benth.","56","9.163779","0.244269","0.032642","0.002173"
"43","Machaerium aureiflorum Ducke","6","5.69826","0.004297","0.001754","6e-06","Machaerium aureiflorum Ducke","6","7.681458","0.201313","0.082186","0.019457","Machaerium aureiflorum Ducke","6","7.192219","0.051235","0.020917","0.001805","Machaerium aureiflorum Ducke","6","9.681578","0.107546","0.043905","0.020281"
"44","Machaerium biovulatum Micheli","69","5.696377","0.00693","0.000834","1e-06","Machaerium biovulatum Micheli","69","7.409471","0.429012","0.051647","0.001692","Machaerium biovulatum Micheli","68","7.471276","0.095394","0.011568","0.000159","Machaerium biovulatum Micheli","68","9.159944","0.463525","0.056211","0.001789"
"45","Machaerium bondaense Pittier","2","5.695397","0.008319","0.005882","1.8e-05","Machaerium bondaense Pittier","2","7.80342","0.208006","0.147082","0.05837","Machaerium bondaense Pittier","2","7.36825","0.095852","0.067778","0.005416","Machaerium bondaense Pittier","2","9.326882","0.244219","0.172689","0.060842"
"46","Machaerium brasiliense Vogel","64","5.69174","0.006704","0.000838","1e-06","Machaerium brasiliense Vogel","64","7.124859","0.294859","0.036857","0.001824","Machaerium brasiliense Vogel","64","7.308374","0.099635","0.012454","0.000169","Machaerium brasiliense Vogel","64","9.005001","0.303541","0.037943","0.001901"
"47","Machaerium campylothyrsum Hoehne","1","5.696926",NA,NA,"3.6e-05","Machaerium campylothyrsum Hoehne","1","7.537963",NA,NA,"0.116739","Machaerium campylothyrsum Hoehne","1","7.082549",NA,NA,"0.010833","Machaerium campylothyrsum Hoehne","1","9.770642",NA,NA,"0.121683"
"48","Machaerium cantarellianum Hoehne","5","5.690853","0.005792","0.00259","7e-06","Machaerium cantarellianum Hoehne","5","7.23428","0.144858","0.064782","0.023348","Machaerium cantarellianum Hoehne","5","7.182322","0.052319","0.023398","0.002167","Machaerium cantarellianum Hoehne","5","9.229921","0.195509","0.087434","0.024337"
"49","Machaerium caratinganum Kuhlm. & Hoehne","2","5.685615","0.0036","0.002546","1.8e-05","Machaerium caratinganum Kuhlm. & Hoehne","2","6.842059","0.465035","0.328829","0.05837","Machaerium caratinganum Kuhlm. & Hoehne","2","7.200515","0.07489","0.052955","0.005416","Machaerium caratinganum Kuhlm. & Hoehne","2","8.903031","0.420673","0.297461","0.060842"
"50","Machaerium castaneiflorum Ducke","3","5.700161","0.00342","0.001975","1.2e-05","Machaerium castaneiflorum Ducke","3","7.650115","0.091461","0.052805","0.038913","Machaerium castaneiflorum Ducke","3","7.193706","0.026256","0.015159","0.003611","Machaerium castaneiflorum Ducke","3","9.666249","0.132732","0.076633","0.040561"
"51","Machaerium chiapense Brandegee","6","5.686176","0.004351","0.001776","6e-06","Machaerium chiapense Brandegee","6","7.040574","0.143001","0.05838","0.019457","Machaerium chiapense Brandegee","6","7.481217","0.046877","0.019137","0.001805","Machaerium chiapense Brandegee","6","8.590759","0.327752","0.133804","0.020281"
"52","Machaerium cirrhiferum Pittier","13","5.6979","0.003827","0.001061","3e-06","Machaerium cirrhiferum Pittier","13","7.505747","0.344525","0.095554","0.00898","Machaerium cirrhiferum Pittier","13","7.49474","0.069502","0.019276","0.000833","Machaerium cirrhiferum Pittier","13","9.275485","0.412632","0.114444","0.00936"
"53","Machaerium cobanense Donn.Sm.","17","5.684241","0.007839","0.001901","2e-06","Machaerium cobanense Donn.Sm.","17","7.612844","0.433881","0.105232","0.006867","Machaerium cobanense Donn.Sm.","17","7.40535","0.059314","0.014386","0.000637","Machaerium cobanense Donn.Sm.","17","9.376158","0.409784","0.099387","0.007158"
"54","Machaerium complanatum Ducke","2","5.680684","0","0","1.8e-05","Machaerium complanatum Ducke","2","7.074117","0","0","0.05837","Machaerium complanatum Ducke","2","7.30317","0","0","0.005416","Machaerium complanatum Ducke","2","9.040382","0","0","0.060842"
"55","Machaerium condensatum Kuhlm. & Hoehne","8","5.694183","0.005225","0.001847","4e-06","Machaerium condensatum Kuhlm. & Hoehne","8","7.240152","0.204167","0.072184","0.014592","Machaerium condensatum Kuhlm. & Hoehne","8","7.244002","0.059974","0.021204","0.001354","Machaerium condensatum Kuhlm. & Hoehne","8","9.216833","0.185044","0.065423","0.01521"
"56","Machaerium costulatum Rudd","1","5.698602",NA,NA,"3.6e-05","Machaerium costulatum Rudd","1","7.939515",NA,NA,"0.116739","Machaerium costulatum Rudd","1","7.102499",NA,NA,"0.010833","Machaerium costulatum Rudd","1","9.955938",NA,NA,"0.121683"
"57","Machaerium cuspidatum Kuhlm. & Hoehne","22","5.694914","0.004816","0.001027","2e-06","Machaerium cuspidatum Kuhlm. & Hoehne","22","7.99088","0.320277","0.068283","0.005306","Machaerium cuspidatum Kuhlm. & Hoehne","22","7.160344","0.087465","0.018648","0.000492","Machaerium cuspidatum Kuhlm. & Hoehne","22","9.981732","0.314561","0.067065","0.005531"
"58","Machaerium duckeanum Hoehne","3","5.701715","0.005349","0.003088","1.2e-05","Machaerium duckeanum Hoehne","3","7.545244","0.230922","0.133323","0.038913","Machaerium duckeanum Hoehne","3","7.28249","0.099277","0.057318","0.003611","Machaerium duckeanum Hoehne","3","9.537423","0.168337","0.097189","0.040561"
