"","species","n_temp","mean_temp","sd_temp","se_temp","within_sp_var_temp","species.1","n_prec","mean_prec","sd_prec","se_prec","within_sp_var_prec","species.2","n_pet","mean_pet","sd_pet","se_pet","within_sp_var_pet","species.3","n_aridity","mean_aridity","sd_aridity","se_aridity","within_sp_var_aridity"
"34","Tontelea fuliginea Lombardi","1","24.3",NA,NA,"3.108191","Tontelea fuliginea Lombardi","1","3790",NA,NA,"542446.125393","Tontelea fuliginea Lombardi","1","1174",NA,NA,"23709.632564","Tontelea fuliginea Lombardi","1","28550",NA,NA,"25443197.05334"
"35","Tontelea hondurensis A.C.Sm.","9","23.833333","2.161018","0.720339","0.345355","Tontelea hondurensis A.C.Sm.","9","3101.555556","999.738355","333.246118","60271.79171","Tontelea hondurensis A.C.Sm.","9","1615.222222","81.975267","27.325089","2634.403618","Tontelea hondurensis A.C.Sm.","9","17327.222222","1575.291146","525.097049","2827021.894816"
"36","Dalbergia gracilis Benth.","23","25.095652","0.379567","0.079145","0.135139","Dalbergia gracilis Benth.","23","1728.73913","276.885966","57.734715","23584.614148","Dalbergia gracilis Benth.","23","1408.608696","138.457653","28.870416","1030.85359","Dalbergia gracilis Benth.","23","12566.478261","2736.00136","570.49572","1106225.958841"
"37","Dalbergia grandistipula A.M.Carvalho","1","25.5",NA,NA,"3.108191","Dalbergia grandistipula A.M.Carvalho","1","1714",NA,NA,"542446.125393","Dalbergia grandistipula A.M.Carvalho","1","1301",NA,NA,"23709.632564","Dalbergia grandistipula A.M.Carvalho","1","13571",NA,NA,"25443197.05334"
"38","Dalbergia guttembergii A.M.Carvalho","2","26.45","0.777817","0.55","1.554095","Dalbergia guttembergii A.M.Carvalho","2","1725","145.663997","103","271223.062696","Dalbergia guttembergii A.M.Carvalho","2","1557","63.63961","45","11854.816282","Dalbergia guttembergii A.M.Carvalho","2","11440.5","1460.175503","1032.5","12721598.52667"
"39","Dalbergia sampaioana Kuhlm. & Hoehne","1","24.3",NA,NA,"3.108191","Dalbergia sampaioana Kuhlm. & Hoehne","1","1190",NA,NA,"542446.125393","Dalbergia sampaioana Kuhlm. & Hoehne","1","1428",NA,NA,"23709.632564","Dalbergia sampaioana Kuhlm. & Hoehne","1","8386",NA,NA,"25443197.05334"
"40","Lonchocarpus martynii A.C.Sm.","2","26.1","1.272792","0.9","1.554095","Lonchocarpus martynii A.C.Sm.","2","2083","362.038672","256","271223.062696","Lonchocarpus martynii A.C.Sm.","2","1626","28.284271","20","11854.816282","Lonchocarpus martynii A.C.Sm.","2","12270.5","4.949747","3.5","12721598.52667"
"41","Machaerium amazonense Hoehne","7","25.028571","1.282854","0.484873","0.444027","Machaerium amazonense Hoehne","7","2580.857143","526.048929","198.827806","77492.303628","Machaerium amazonense Hoehne","7","1433.571429","177.423089","67.059624","3387.090366","Machaerium amazonense Hoehne","7","17167","4041.92883","1527.7055","3634742.436191"
"42","Machaerium amplum Benth.","56","24.557143","1.519911","0.203107","0.055503","Machaerium amplum Benth.","56","1446.714286","359.494783","48.039511","9686.537953","Machaerium amplum Benth.","56","1565.142857","120.609728","16.117153","423.386296","Machaerium amplum Benth.","56","9834.482143","2527.863582","337.79998","454342.804524"
"43","Machaerium aureiflorum Ducke","6","25.2","1.279062","0.522175","0.518032","Machaerium aureiflorum Ducke","6","2203.333333","420.287362","171.581597","90407.687565","Machaerium aureiflorum Ducke","6","1330.5","67.972789","27.749775","3951.605427","Machaerium aureiflorum Ducke","6","16097.5","1743.338722","711.715053","4240532.842223"
