"","species","mean_temp","se_temp","within_sp_var_temp","mean_prec","se_prec","within_sp_var_prec","mean_pet","se_pet","within_sp_var_pet","mean_aridity","se_aridity","within_sp_var_aridity","Mechanism"
"1605","Aristolochia inflata Kunth",5.695548,0.002512,4e-06,7.388419,0.111781,0.007745,7.420298,0.030021,0.000667,9.291899,0.147288,0.0089,"Mechanism_1"
"1606","Aristolochia klugii O.C.Schmidt",5.69769,0.00091,1.1e-05,8.024546,0.090422,0.019916,7.124232,0.01535,0.00162,10.108969,0.100268,0.021615,"Mechanism_1"
"1607","Aristolochia labiata Willd.",5.690636,0.001056,2e-06,7.124664,0.051656,0.002904,7.294651,0.013851,0.000236,9.063751,0.053507,0.003152,"Mechanism_1"
"1608","Aristolochia lagesiana Ule",5.696086,0.00059,1.8e-05,7.93196,0.23421,0.034853,7.100812,0.035185,0.002834,10.107853,0.191127,0.037827,"Mechanism_1"
"1609","Aristolochia lanceolatolorata S.Moore",5.698602,NA,7.4e-05,7.474772,NA,0.139413,7.221836,NA,0.011337,9.562897,NA,0.151306,"Mechanism_1"
"1610","Aristolochia leuconeura Linden",5.698123,0.000805,3e-06,7.850975,0.068169,0.006337,7.367243,0.029941,0.00054,9.659286,0.069842,0.007205,"Mechanism_1"
"1611","Aristolochia limai Hoehne",5.691874,0.003036,3.7e-05,7.260638,0.068456,0.069706,7.173707,0.035634,0.005669,9.177979,0.108396,0.075653,"Mechanism_1"
"1612","Aristolochia lindeniana Duch.",5.701611,0.002005,3.7e-05,7.014649,0.293224,0.069706,7.535603,0.021348,0.005669,9.200542,0.444175,0.075653,"Mechanism_1"
"1613","Aristolochia lindneri A.Berger",5.697461,0.000777,1.5e-05,6.811118,0.09019,0.027883,7.544893,0.02684,0.002267,8.453153,0.234136,0.030261,"Mechanism_1"
"1614","Aristolochia linearifolia Wright ex Griseb.",5.698434,0.001173,3.7e-05,6.799721,0.508152,0.069706,7.546391,0.01056,0.005669,8.588965,0.167403,0.075653,"Mechanism_1"
"1615","Aristolochia lingua Malme",5.680343,NA,7.4e-05,7.155396,NA,0.139413,7.476472,NA,0.011337,8.759982,NA,0.151306,"Mechanism_1"
"1616","Aristolochia lingulata Ule",5.689885,0.005926,1.8e-05,7.952716,0.325429,0.034853,7.103112,0.038406,0.002834,10.056258,0.294882,0.037827,"Mechanism_1"
"1617","Aristolochia longispathulata F.González",5.69095,0.000784,1.8e-05,7.237297,0.088042,0.034853,7.20274,0.017817,0.002834,9.120914,0.025544,0.037827,"Mechanism_1"
"1618","Aristolochia lutescens Duch.",5.705614,NA,7.4e-05,6.591674,NA,0.139413,7.468513,NA,0.011337,8.472614,NA,0.151306,"Mechanism_1"
"1619","Aristolochia marianensis Ahumada",5.671087,NA,7.4e-05,7.546446,NA,0.139413,7.085064,NA,0.011337,9.531626,NA,0.151306,"Mechanism_1"
"1620","Aristolochia mathewsii Duch.",5.699942,NA,7.4e-05,7.226209,NA,0.139413,7.229839,NA,0.011337,9.310548,NA,0.151306,"Mechanism_1"
"1621","Aristolochia maxima Jacq.",5.697182,0.000666,1e-06,7.542801,0.044834,0.001549,7.404581,0.015852,0.000127,9.38963,0.053368,0.0017,"Mechanism_1"
"1622","Aristolochia melgueiroi Barringer & F.Guánchez",5.695582,NA,7.4e-05,8.112827,NA,0.139413,7.212294,NA,0.011337,10.143174,NA,0.151306,"Mechanism_1"
"1623","Aristolochia mishuyacensis O.C.Schmidt",5.697148,0.000975,2.5e-05,7.910886,0.102313,0.046471,7.167277,0.063586,0.003779,9.920619,0.092744,0.050435,"Mechanism_1"
