"","species","n_temp","mean_temp","sd_temp","se_temp","within_sp_var_temp","species.1","n_prec","mean_prec","sd_prec","se_prec","within_sp_var_prec","species.2","n_pet","mean_pet","sd_pet","se_pet","within_sp_var_pet","species.3","n_aridity","mean_aridity","sd_aridity","se_aridity","within_sp_var_aridity"
"41","Clematis caleoides Standl. & Steyerm.","3","15.9","4.253234","2.455606","5.310543","Clematis caleoides Standl. & Steyerm.","3","2006.666667","456.772737","263.717863","189333.397863","Clematis caleoides Standl. & Steyerm.","3","1522.666667","76.631151","44.243016","10424.97947","Clematis caleoides Standl. & Steyerm.","3","9752.333333","942.369531","544.077302","9462704.883013"
"42","Clematis campestris A.St.-Hil.","23","21.63913","3.546796","0.739558","0.69268","Clematis campestris A.St.-Hil.","23","987.608696","514.267417","107.232169","24695.660591","Clematis campestris A.St.-Hil.","23","1712","177.986721","37.112797","1359.779931","Clematis campestris A.St.-Hil.","23","6090.565217","3105.7278","647.589012","1234265.854306"
"43","Clematis dioica L.","78","21.784615","3.794394","0.429631","0.204252","Clematis dioica L.","78","1271.346154","553.629414","62.686187","7282.053764","Clematis dioica L.","78","1773.371795","124.009228","14.04128","400.960749","Clematis dioica L.","78","7370.692308","3494.508729","395.675198","363950.187808"
"44","Clematis flammulastrum Griseb.","2","20.95","0.070711","0.05","7.965814","Clematis flammulastrum Griseb.","2","1654","404.465079","286","284000.096795","Clematis flammulastrum Griseb.","2","1562","25.455844","18","15637.469206","Clematis flammulastrum Griseb.","2","11609","2648.822002","1873","14194057.324519"
"45","Clematis grossa Benth.","53","20.19434","3.82167","0.524947","0.300597","Clematis grossa Benth.","53","1517.924528","673.768274","92.54919","10716.984785","Clematis grossa Benth.","53","1723.188679","126.443064","17.368291","590.093178","Clematis grossa Benth.","53","9001.471698","4083.437214","560.903239","535624.804699"
"46","Clematis guadeloupae Pers.","27","20.907407","4.359422","0.838971","0.59006","Clematis guadeloupae Pers.","27","1838.185185","762.412721","146.726397","21037.044207","Clematis guadeloupae Pers.","27","1385.074074","186.11492","35.817833","1158.331052","Clematis guadeloupae Pers.","27","13830.037037","5986.965107","1152.191972","1051411.653668"
"47","Clematis haenkeana C.Presl","53","16.937736","5.818876","0.799284","0.300597","Clematis haenkeana C.Presl","53","1567.886792","994.620775","136.621671","10716.984785","Clematis haenkeana C.Presl","53","1416.943396","247.846371","34.044317","590.093178","Clematis haenkeana C.Presl","53","11229","6966.569703","956.931943","535624.804699"
"48","Clematis peruviana DC.","6","11.85","6.718556","2.742839","2.655271","Clematis peruviana DC.","6","408.333333","305.985403","124.918018","94666.698932","Clematis peruviana DC.","6","1491.666667","335.310403","136.889899","5212.489735","Clematis peruviana DC.","6","2926.5","2323.251321","948.46338","4731352.441506"
"49","Clematis polygama Jacq.","47","21.77234","3.759145","0.548328","0.338971","Clematis polygama Jacq.","47","1728.468085","728.193532","106.217943","12085.110502","Clematis polygama Jacq.","47","1716.404255","134.313012","19.591566","665.424222","Clematis polygama Jacq.","47","9817.148936","4875.490299","711.163351","604002.439341"
"50","Clematis populifolia Turcz.","6","15.45","5.314414","2.1696","2.655271","Clematis populifolia Turcz.","6","2098.166667","1018.82941","415.935365","94666.698932","Clematis populifolia Turcz.","6","1295.333333","271.133669","110.689857","5212.489735","Clematis populifolia Turcz.","6","15268","3333.777797","1361.009086","4731352.441506"
